corp,year,operating_income,revenue,net_income,outstanding_shares,total_liabilities,total_assets,cash_flow_per_share,sales_per_share,current_assets,current_liabilities,inventory,net_working_capital,non_current_assets,non_current_liabilities
GS건설,2018,1064489177085.0,13139372923261.0,587434395163.0,158871594,8408589418656.0,12033275312727.0,6501.771804448566,82704.35634491713,7828165281170.0,6359727442301.0,1034194955187.0,1468437838869.0,4205110031557.0,2048861976355.0
GS건설,2019,767266689077.0,10416589201821.0,447479242607.0,160195608,9028178350231.0,13171205734337.0,4739.635874380526,65024.187191330486,7328856814743.0,5800889904080.0,875113715855.0,1527966910663.0,5842348919594.0,3227288446151.0
GS건설,2020,750397845885.0,10122930837450.0,329675683016.0,161416406,9458561906485.0,13770677888907.0,3431.369578498731,62713.147246321416,7251909747441.0,5728861799197.0,1430061358185.0,1523047948244.0,6518768141466.0,3729700107288.0
GS건설,2021,646485539335.0,9036575422803.0,428803249577.0,171162980,10311003421948.0,15183727264768.0,6470.262022348525,52795.15128097793,8195112429919.0,6769327249756.0,1477099762528.0,1425785180163.0,6988614834849.0,3541676172192.0
GS건설,2022,554834830515.0,12299196214752.0,441211560543.0,171162980,11590413888307.0,16946616696898.0,-42.626316870622375,71856.63754365576,9411595104509.0,8205470645448.0,1499922465331.0,1206124459061.0,7535021592389.0,3384943242859.0
GS글로벌,2018,56129900458.0,4058527568657.0,21058575735.0,165067528,932911605877.0,1336006541536.0,-62.677064292136244,24587.074258826968,800861546843.0,749522335075.0,183088045132.0,51339211768.0,535144994693.0,183389270802.0
GS글로벌,2019,58277395763.0,3889400298212.0,-16661330444.0,165067528,825321063730.0,1205244855027.0,201.2145817801306,23562.47982469332,720951579213.0,672608982514.0,164876055190.0,48342596699.0,484293275814.0,152712081216.0
GS글로벌,2020,32299928715.0,2815020979457.0,-82139431429.0,165067528,657805876104.0,956821701333.0,728.0068795359921,17053.75377922301,560816379030.0,540317680904.0,90630557234.0,20498698126.0,396005322303.0,117488195200.0
GS글로벌,2021,38846703450.0,3849040520289.0,22028008413.0,165067528,1100168067127.0,1442681820909.0,-2085.695438663139,23317.97517612913,1038726911531.0,926642821394.0,296513060020.0,112084090137.0,403954909378.0,173525245733.0
GS글로벌,2022,70467603982.0,5070923117354.0,68061370179.0,165067528,1012698524738.0,1419412958453.0,1240.9640389113963,30720.294771446508,1006878372309.0,805649501154.0,242312101620.0,201228871155.0,412534586144.0,207049023584.0
GS리테일,2018,180259204265.0,8691612313033.0,132335836633.0,154000000,2640531613192.0,5098880172660.0,2108.9463119155844,56439.04099372078,709522056857.0,1720407509900.0,224587647068.0,-1010885453043.0,4389358115803.0,920124103292.0
GS리테일,2019,238835955920.0,9006928792999.0,143624028195.0,154000000,4482562635331.0,7049658160416.0,5222.9162151688315,58486.55060388961,800433640587.0,1777083793161.0,183353602512.0,-976650152574.0,6249224519829.0,2705478842170.0
GS리테일,2020,275194267020.0,8764254763494.0,154521822927.0,154000000,4510588585251.0,7177767175769.0,5233.634677467532,56910.74521749351,923271551810.0,1682198174408.0,188692433449.0,-758926622598.0,6254495623959.0,2828390410843.0
